Gender,Age,Difficulty,Completion Time (sec),Number Incorrect
Woman,21,1,193,2
Man,43,1,154,6
Man,38,3,298,6
Man,37,3,528,10
Woman,27,2,217,8
Woman,54,1,139,3
Man,42,2,331,3
Woman,22,1,199,0
Woman,33,2,349,2
Man,48,3,327,10
Man,38,1,114,3
Woman,46,1,145,4
Man,24,3,330,4
Man,31,1,111,1
Man,24,2,232,4
Man,45,1,189,4
Woman,51,2,221,8
Man,48,1,192,0
Woman,40,3,327,11
Woman,28,3,310,9
Woman,48,2,289,9
Woman,40,2,303,9
Woman,32,1,117,3
Woman,24,1,192,2
Man,45,3,575,5
Man,40,1,147,4
Man,31,3,331,4
Woman,51,3,479,4
Woman,54,2,330,1
Man,30,3,446,10
Woman,29,2,360,6
Man,48,2,228,10
Man,49,2,271,6
Woman,29,1,155,1
Man,43,3,595,12
Woman,23,1,105,4
Man,42,1,143,3
Woman,24,3,524,13
Man,43,3,372,9
Man,30,3,355,10
Woman,46,1,170,1
Woman,25,3,523,5
Man,50,1,163,0
Woman,32,3,407,5
Man,33,3,508,4
Man,35,2,399,9
Man,40,2,412,1
Man,41,3,398,5
Man,35,2,318,1
Man,29,2,248,1
Woman,46,1,157,0
Man,25,1,173,1
Woman,24,1,131,3
Man,33,3,320,3
Man,23,1,164,5
Woman,39,3,331,4
Woman,48,2,229,2
Woman,32,3,504,4
Man,24,1,186,1
Man,51,1,140,5
Woman,41,2,313,2
Man,52,3,369,8
Man,31,1,204,0
Man,31,3,500,13
Man,48,3,326,7
Man,41,3,312,4
Man,42,3,570,3
Man,38,1,145,0
Woman,25,3,559,9
Man,33,1,150,2
Man,45,3,443,8
Woman,35,3,378,4
Woman,54,2,317,5
Man,40,3,427,8
Woman,53,1,173,4
Non-binary,38,3,480,3
Woman,23,3,595,7
Man,24,3,527,3
Man,30,2,379,6
Man,25,1,111,5
Man,53,2,353,1
Man,35,1,159,2
Man,36,2,327,3
Man,32,2,404,3
Man,51,2,346,1
Woman,48,1,195,1
Other,48,2,401,1
Woman,53,1,163,2
Man,23,3,431,4
Man,26,2,372,4
Woman,40,2,276,4
Woman,26,3,448,5
Man,50,2,228,7
Man,49,2,369,5
Woman,38,2,224,1
Man,39,1,203,3
Woman,45,3,432,7
Man,41,1,182,3
Woman,34,3,430,4
Woman,34,2,400,3
Non-binary,39,2,362,2
Woman,21,1,132,4
Man,47,2,321,4
Woman,33,3,490,11
Non-binary,27,2,322,5
Woman,38,2,210,3
Woman,27,3,524,5
Woman,41,3,532,4
Woman,28,2,238,1
Man,26,1,188,0
Woman,38,1,121,4
Woman,46,3,495,12
Woman,40,3,416,11
Woman,29,2,296,2
Woman,35,3,546,3
Woman,40,1,113,0
Man,33,3,586,4
Man,22,1,136,2
Man,39,3,543,8
Man,28,3,370,13
Woman,23,1,143,4
Man,37,2,260,1
Woman,48,3,433,14
Woman,45,1,126,3
Man,46,2,292,7
Woman,25,1,183,5
Woman,26,1,188,1
Woman,40,2,226,5
Woman,21,3,421,7
Man,43,2,353,1
Man,31,2,361,3
Woman,44,2,276,4
Woman,31,3,410,12
Man,46,3,478,4
Woman,42,1,106,6
Woman,51,2,247,7
Man,32,3,316,7
Woman,51,2,383,9
Woman,22,1,133,0
Woman,52,1,188,6
Man,35,2,210,1
Woman,42,1,119,3
Woman,49,3,575,5
Non-binary,24,1,142,5
Man,53,1,107,3
Non-binary,42,1,139,5
Man,26,1,151,6
Man,38,3,431,8
Man,50,2,216,3
Woman,46,1,191,6
Man,48,3,457,10
Woman,34,3,391,11
Man,37,1,143,0
Woman,43,1,124,3
Woman,50,2,219,8
Man,43,1,169,0
Other,45,1,176,0
Woman,51,3,314,4
Man,30,1,168,5
Man,38,3,588,5
Man,31,1,185,2
Man,30,1,107,2
Woman,35,2,262,7
Man,31,1,203,3
Man,36,1,135,1
Man,28,1,110,2
Woman,52,3,446,5
Man,31,2,335,3
Man,31,3,354,7
Man,26,3,478,4
Woman,29,3,456,4
Woman,42,3,390,6
Non-binary,38,1,196,1
Woman,25,1,185,5
Man,37,3,385,3
Man,32,2,220,9
Non-binary,35,2,350,7
Man,35,2,390,11
Woman,41,3,547,9
Woman,44,1,155,1
Man,38,1,175,0
Man,51,1,107,1
Woman,38,3,524,12
Woman,26,2,357,1
Woman,35,1,206,3
Man,33,3,506,3
Man,39,2,398,0
Non-binary,24,1,132,1
Woman,48,3,394,4
Man,54,3,318,4
Woman,48,2,323,2
Man,25,2,321,6
Woman,34,2,215,6
Man,45,3,467,9
Woman,45,3,511,4
Woman,21,2,217,1
